Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2011,20,,Oral Roberts,SUMT,NCAA,,,,,3.15,3.15,,0,,,0,,20,14,7,7,,12,,24,,,,,1.3,6.3,,5.4,10.8,2
2012,21,-0.1,Oral Roberts,SUMT,NCAA,,0,3,0,2.33,3.26,29,0,,,0,1,19.1,16,7,5,0,7,1,14,1,0,3,80,1.19,7.4,0,3.3,6.5,2
2014,23,-2,Brownsville,UNLB,Ind,,0,2,0,2.98,3.35,8,5,1,2,0,1,48.1,39,18,16,2,17,0,31,2,1,2,195,1.159,7.3,0.4,3.2,5.8,1.82
2014,23,-3.1,Sioux City,AA,Ind,,2,4,0.333,6.36,7.71,9,8,0,0,0,0,46.2,61,40,33,4,19,1,26,0,0,1,218,1.714,11.8,0.8,3.7,5,1.37
2015,24,0.6,Roswell,PECO,Ind,,4,1,0.8,3.99,4.46,7,5,2,2,0,2,38.1,32,19,17,1,14,0,33,2,0,2,161,1.2,7.5,0.2,3.3,7.7,2.36
2016,25,-1.1,Gary,AA,Ind,,1,1,0.5,2.6,2.6,19,0,4,0,0,0,27.2,35,8,8,2,7,1,13,2,0,0,123,1.518,11.4,0.7,2.3,4.2,1.86
2016,25,1.5,Roswell,PECO,Ind,,2,1,0.667,6.48,7.2,4,4,0,0,0,0,25,34,20,18,5,11,0,22,2,0,0,118,1.8,12.2,1.8,4,7.9,2
2016,25,0.7,Schaumburg,FRON,Ind,,0,3,0,6.19,7.88,3,3,0,0,0,0,16,23,14,11,1,6,0,8,0,0,2,76,1.813,12.9,0.6,3.4,4.5,1.33
2017,26,1.7,Schaumburg,FRON,Ind,,9,4,0.692,3.44,3.9,18,17,0,3,0,0,99.1,101,43,38,8,31,0,82,2,0,4,424,1.329,9.2,0.7,2.8,7.4,2.65
2018,27,0.5,Gary,AA,Ind,,4,7,0.364,3.52,4.85,20,13,4,1,0,0,94.2,117,51,37,8,16,0,45,3,0,1,411,1.405,11.1,0.8,1.5,4.3,2.81
2019-20,28,1.5,Melbourne,AUBL,Fgn,,3,0,1,2.08,2.08,4,2,1,0,0,0,21.2,18,5,5,1,1,0,17,0,0,0,81,0.877,7.5,0.4,0.4,7.1,17
2019,28,1.4,Gary,AA,Ind,,4,5,0.444,6.22,7.01,12,11,1,1,0,0,68,97,53,47,5,20,1,34,6,0,1,320,1.721,12.8,0.7,2.6,4.5,1.7
2019,28,1.3,New Jersey,CAMA,Ind,,1,3,0.25,7.14,9.31,5,5,0,1,0,0,29,48,30,23,1,11,0,17,2,0,1,148,2.034,14.9,0.3,3.4,5.3,1.55
2019,28,1.3,Sussex County,CAMA,Ind,,0,1,0,5.63,6.75,1,1,0,1,0,0,8,8,6,5,2,2,0,2,1,0,0,34,1.25,9,2.3,2.3,2.3,1
2021,30,4.3,Nettuno,ITSA,Fgn,,6,2,0.75,3.21,3.78,12,8,,0,0,1,47.2,32,20,17,3,12,0,61,0,2,1,187,0.923,6,0.6,2.3,11.5,5.08
2022,31,4.7,Nettuno,ITSA,Fgn,,2,7,0.222,3.25,4.27,14,5,,0,0,0,52.2,50,25,19,0,16,3,54,2,0,5,228,1.253,8.5,0,2.7,9.2,3.38
2023,32,5.8,Nettuno,ITSA,Fgn,,7,2,0.778,1.29,1.68,12,12,,2,2,0,69.2,53,13,10,2,12,0,97,3,0,1,272,0.933,6.8,0.3,1.6,12.5,8.08
2024,33,6.5,Nettuno,ITSA,Fgn,,0,0,,6.75,6.75,3,1,,0,0,1,2.2,2,2,2,0,2,0,5,1,0,1,14,1.5,6.8,0,6.8,16.9,2.5
2024,33,7.3,HCAW,DUTM,Fgn,,0,0,,0,0,1,0,,0,0,0,1,0,0,0,0,1,0,1,0,0,1,5,1,0,0,9,9,1
