Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1,Trevor Foss,27,WST,Ind,,12,5,0.706,3.06,3.54,20,20,0,4,1,0,132.1,114,52,45,10,32,0,88,4,0,7,533,1.103,7.8,0.7,2.2,6.0,2.75
2,Jake Fisher*,26,WCT,Ind,,10,7,0.588,2.8,3.07,20,20,0,4,1,0,138.0,126,47,43,5,29,0,120,5,1,0,560,1.123,8.2,0.3,1.9,7.8,4.14
3,Cody Gray,25,FLR,Ind,,10,4,0.714,3.24,4.11,18,18,0,4,1,0,114.0,110,52,41,18,26,0,94,11,2,8,477,1.193,8.7,1.4,2.1,7.4,3.62
4,Jordan Kraus,25,FLR,Ind,,10,5,0.667,3.27,3.78,18,18,0,3,1,0,123.2,118,52,45,6,50,0,98,16,1,10,537,1.358,8.6,0.4,3.6,7.1,1.96
5,Chase Cunningham,23,WST,Ind,,10,3,0.769,3.46,3.82,20,20,0,1,0,0,125.0,120,53,48,9,46,1,64,10,0,6,534,1.328,8.6,0.6,3.3,4.6,1.39
6,Scott Sebald*,23,NRM,Ind,,9,2,0.818,2.89,3.22,22,15,2,1,0,1,109.0,104,39,35,7,29,1,87,6,0,2,456,1.22,8.6,0.6,2.4,7.2,3.0
7,Lars Liguori*,26,SCH,Ind,,9,4,0.692,3.44,3.9,18,17,0,3,0,0,99.1,101,43,38,8,31,0,82,2,0,4,424,1.329,9.2,0.7,2.8,7.4,2.65
8,Kagen Hopkins,26,SCH,Ind,,9,5,0.643,4.19,4.37,18,18,0,0,0,0,103.0,104,50,48,9,38,0,86,2,1,6,440,1.379,9.1,0.8,3.3,7.5,2.26
9,Tony Vocca,26,FLR,Ind,,9,5,0.643,4.31,4.98,17,16,1,1,0,0,94.0,94,52,45,12,39,0,71,10,1,9,416,1.415,9.0,1.1,3.7,6.8,1.82
10,Reese Gregory,23,RIV,Ind,,9,5,0.643,4.46,4.81,21,14,2,1,0,0,103.0,109,55,51,13,24,0,66,6,0,0,436,1.291,9.5,1.1,2.1,5.8,2.75
11,Max Duval,26,EVN,Ind,,8,2,0.8,2.28,3.1,14,14,0,3,1,0,87.0,58,30,22,8,27,0,113,4,0,6,344,0.977,6.0,0.8,2.8,11.7,4.19
12,Hector Hernandez*,26,RIV,Ind,,8,8,0.5,3.64,3.79,19,19,0,0,0,0,121.0,105,51,49,10,50,0,117,6,1,8,516,1.281,7.8,0.7,3.7,8.7,2.34
13,Vince Molesky,26,GAT,Ind,,8,7,0.533,3.85,4.34,21,19,2,2,1,1,128.2,118,62,55,12,34,3,120,3,1,7,538,1.181,8.3,0.8,2.4,8.4,3.53
14,Steve Hagen,25,LECFLR,Ind,,8,5,0.615,3.95,4.58,20,20,0,2,1,0,127.2,130,65,56,18,32,0,98,19,0,3,548,1.269,9.2,1.3,2.3,6.9,3.06
15,Zac Westcott,25,WCT,Ind,,8,5,0.615,4.24,4.94,19,19,0,1,1,0,114.2,116,63,54,11,36,0,88,7,0,2,498,1.326,9.1,0.9,2.8,6.9,2.44
16,Hunter Ackerman*,26,EVN,Ind,,8,6,0.571,4.75,5.54,15,15,0,1,0,0,91.0,104,56,48,8,26,0,88,8,0,7,410,1.429,10.3,0.8,2.6,8.7,3.38
17,Ethan Gibbons,27,SOIWST,Ind,,8,6,0.571,5.11,5.4,21,15,4,1,0,0,91.2,89,55,52,16,34,0,85,4,0,4,390,1.342,8.7,1.6,3.3,8.3,2.5
18,Jordan Kurokawa,24,LEC,Ind,,7,4,0.636,2.53,2.76,18,17,1,3,0,0,117.1,101,36,33,3,26,0,79,0,1,6,459,1.082,7.7,0.2,2.0,6.1,3.04
19,Luc Rennie,23,EVN,Ind,,7,5,0.583,2.91,4.19,13,12,0,0,0,0,77.1,71,36,25,6,39,1,66,1,0,7,334,1.422,8.3,0.7,4.5,7.7,1.69
20,Shawn Blackwell,26,NRM,Ind,,7,5,0.583,2.92,3.63,36,7,25,2,1,11,89.1,74,36,29,5,36,2,102,4,1,8,373,1.231,7.5,0.5,3.6,10.3,2.83
21,Charlie Gillies,26,NRM,Ind,,7,10,0.412,4.25,4.85,20,20,0,3,1,0,120.2,118,65,57,3,55,1,90,6,2,6,526,1.434,8.8,0.2,4.1,6.7,1.64
