Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MMM,3M,Industrial Conglomerates,164.97,29.301954,0.0192,5.63,139.34,184.9,85078728704.0,6488000000.0,3.3788216,28.820755,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
AOS,A. O. Smith,Building Products,57.39,15.986073,0.0251,3.59,54.16,81.87,7799793152.0,783699968.0,2.0499337,4.2347994,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS
ABT,Abbott Laboratories,Health Care Equipment,101.95,32.993526,0.0244,3.09,81.97,137.49,177577836544.0,11681000448.0,3.8119102,3.451603,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Biotechnology,257.12,72.42817,0.0269,3.55,190.75,267.47,454361186304.0,30762999808.0,7.0568323,-76.54659,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture,IT Consulting & Other Services,183.9,14.688498,0.0355,12.52,118.15,291.09,112536141824.0,12943767552.0,1.5394696,3.5283284,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ADBE,Adobe Inc.,Application Software,252.23,14.083194,,17.91,190.12,370.86,100261421056.0,9754999808.0,3.8606632,8.46921,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AMD,Advanced Micro Devices,Semiconductors,516.13,131.66582,,3.92,149.85,584.73,842569351168.0,9562000384.0,20.398724,12.530164,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD
AES,AES Corporation,Independent Power Producers & Energy Traders,14.79,5.5393257,0.0476,2.67,12.33,17.65,10547602432.0,4070000128.0,0.8079977,2.1341991,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AFL,Aflac,Life & Health Insurance,115.28,12.435814,0.0212,9.27,105.43,130.22,57794854912.0,6064999936.0,3.198564,1.9101272,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies,Life Sciences Tools & Services,146.93,28.980274,0.0071,5.07,108.35,163.75,41423806464.0,2080000000.0,5.619073,5.626699,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD,Air Products,Industrial Gases,291.43,,0.0248,-0.2,229.11,314.87,64897245184.0,4652199936.0,5.149676,4.6743226,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines",170.19,38.94508,,4.37,110.81,193.453,101907333120.0,2760999936.0,7.7443066,12.87465,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABNB
AKAM,Akamai Technologies,Internet Services & Infrastructure,106.79,38.692028,,2.76,70.82,165.45,15347496960.0,1079897984.0,3.5503323,3.2292109,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALB,Albemarle Corporation,Specialty Chemicals,117.52,435.25922,0.014,0.27,77.5,221.0,13867954176.0,1482468992.0,2.347356,1.7246845,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
